store,Latitude,Longitude
晨飲,24.793060019050287,120.96246002286784
Shang He Wei 上禾味永和豆漿,24.826660009485977,121.0161700011306
因為我愛你,24.891698350485896,120.98805086296457
小稻甜'cafe,24.809950014953472,120.96752001017683
深尋 Brunch. Supper-手工早午餐,24.772070015208826,121.0529799671159
咖哩老大,24.791730020563918,120.92741000509233
日拾鹽酥雞專賣,24.83488999066637,121.02119000676146
麵屋一鮫,24.786150019981974,121.0168800321486
暖暖禾食,24.826690000000042,121.01281000000006
横浜家系ラーメン拉麵家,24.810089992736508,120.97683004149087
Mountain House 山房,24.79515997916235,120.97609997772429
沐樂早午餐,30.545830000000024,117.86667000000011
樂陽食堂,24.83040998914764,121.00852998020525
好又來麵食館,24.826690000000042,121.01281000000006
心丼隱食堂,24.829049983447902,121.00908997515637
慢點吐司,24.79794997945332,120.99646003963261
秦老大的小館子,24.786120012768606,121.01029001223401
泰·方象泰國路邊攤Roadside Thai Cuisine,24.803609985301094,120.97747997426313
Uncles’ 義國料理,24.8030799975633,120.98253996157206
咖啡羊行-台元店,24.83746998237328,121.019459981946
大和屋咖哩店,24.807080009396685,120.96695004076088
米庫,24.810089992736508,120.98157998220137
勾勾手 早午餐 pinky promise,24.805210006798248,120.97168003254183
杜蘭小麥．清大店 - 義大利麵．披薩,24.798589979670282,120.99795000674106
米咕家日式飯糰 竹北總店,24.84281998353211,120.99700000183515
Musha Musha,24.805219981263022,120.96922002777887
燃舍串燒き（金山總店）,24.77563001903502,121.02630003403232
錵鑶日本料理 新竹店,24.791709987815338,121.01505001122831
犀牛西式小館 RHINO Restaurant,24.80721998717972,120.96023999199281
No將丸食,24.81236999612878,120.97244001970273
大俠綠豆沙牛乳-新竹西大店,24.801120015234275,120.96617999531617
硬派主廚的軟嫩料理,24.805429989847084,120.96906001724727
黑白嗆義大利創意美食,24.785780000866282,121.01436998742372
暮牧 Mu Mu,24.787619996251365,121.01728001656818
麵屋天元 Tengen,24.80094001386358,120.96880001061072
不准賴床,24.796109984068252,120.97517998003178
法豆 綠豆沙牛奶,24.80506998710571,120.96539000094185
厚醍牛肉麵,24.900849994691484,121.04506996508923
香草微風 田園廚房,24.854189993280073,120.96670000858916
金花碳烤吐司-新竹光復店,24.78412998131668,121.01519996347616
四葉燒肉.丼物專門店,24.800780003331965,120.99144003400181
無油無慮低Gi弁當。光復店,24.779879979221093,121.02464997257323
Double Eats 双食,24.78512998427503,121.01400998468233
沖繩拉麵  本也,24.820319979833585,121.02292003157686
